,university,subsurface_acres,surface_acres,timber_acres,price_paid,present_day_tribe_count,present_day_tribe,tribes_named_in_cession_count,tribes_named_in_cession,cession_count,all_cessions
1,Colorado State University,42770.93,18814.8,,100232.51,8,"Arapaho Tribe of the Wind River Reservation, Wyoming;Cheyenne and Arapaho Tribes, Oklahoma;Comanche Nation, Oklahoma;Kiowa Indian Tribe of Oklahoma;Northern Cheyenne Tribe of the Northern Cheyenne Indian Reservation, Montana;Southern Ute Indian Tribe of the Southern Ute Reservation, Colorado;Ute Indian Tribe of the Uintah & Ouray Reservation, Utah;Ute Mountain Ute Tribe, Colorado, New Mexico, & Utah",8,"Arapaho;Arapaho of Upper Arkansas;Cheyenne;Cheyenne of Upper Arkansas;Comanche;Kiowa;Uta;Uta (Tabeguache, Muache, Capote, Weeminuchi, Yampa, Grand River, and Uintah bands)",8,586;616;477;566;478;511;515;426
2,Montana State University,246532.91,158396.12,,1050115.21,27,"Arapaho Tribe of the Wind River Reservation, Wyoming;Assiniboine and Sioux Tribes of the Fort Peck Indian Reservation, Montana;Blackfeet Tribe of the Blackfeet Indian Reservation of Montana;Cheyenne River Sioux Tribe of the Cheyenne River Reservation, South Dakota;Confederated Salish & Kootenai Tribes of the Flathead Reservation, Montana;Confederated Tribes of the Colville Reservation, Washington;Crow Creek Sioux Tribe of the Crow Creek Reservation, South Dakota;Crow Tribe of Montana;Flandreau Santee Sioux Tribe of South Dakota;Fort Belknap Indian Community of the Fort Belknap Reservation of Montana;Keweenaw Bay Indian Community, Michigan;Lac Vieux Desert Band of Lake Superior Chippewa Indians, Michigan;Lower Brule Sioux Tribe of the Lower Brule Reservation, South Dakota;Lower Sioux Indian Community in the State of Minnesota;Nez Perce Tribe of Idaho;Northern Cheyenne Tribe of the Northern Cheyenne Indian Reservation, Montana;Oglala Sioux Tribe of the Pine Ridge Reservation, South Dakota;Prairie Island Indian Community in the State of Minnesota;Rosebud Sioux Tribe of the Rosebud Indian Reservation, South Dakota;Santee Sioux Nation, Nebraska;Shakopee Mdewakanton Sioux Community of Minnesota;Sisseton-Wahpeton Oyate of the Lake Traverse Reservation, South Dakota;Spirit Lake Tribe, North Dakota;Standing Rock Sioux Tribe of North & South Dakota;Three Affiliated Tribes of the Fort Berthold Reservation, North Dakota;Upper Sioux Community, Minnesota;Yankton Sioux Tribe of South Dakota",17,"Arapaho;Arikara;Blackfoot;Blood;Chippewa, Ontonagon band;Crow;Flathead;Gros Ventre;Indians of Fort Peck agency;Kootenay;Mandan;Nez Percè, Blackfoot and Flathead Nations;Northern Cheyenne;Piegan;River Crow;Sioux;Upper Pend d'Orelles",16,714;399;373;574;585;529;565;692;635;620;517;693;557;619;597;398
3,New Mexico State University,253484.59,186179.8,,59410.41,10,"Apache Tribe of Oklahoma;Comanche Nation, Oklahoma;Fort Sill Apache Tribe of Oklahoma;Jicarilla Apache Nation, New Mexico;Kiowa Indian Tribe of Oklahoma;Mescalero Apache Tribe of the Mescalero Reservation, New Mexico;Navajo Nation, Arizona, New Mexico & Utah;San Carlos Apache Tribe of the San Carlos Reservation, Arizona;Tonto Apache Tribe of Arizona;White Mountain Apache Tribe of the Fort Apache Reservation, Arizona",9,Apache;Apache (Mescalero);Apache (eastern bands);Apache (western bands);Comanche;Gila Apache;Kiowa;Navaho;Southern Apache,8,519;688;588;644;448;424;689;478
4,North Dakota State University,111452.61,15034.54,,74968.19,24,"Arapaho Tribe of the Wind River Reservation, Wyoming;Assiniboine and Sioux Tribes of the Fort Peck Indian Reservation, Montana;Cheyenne River Sioux Tribe of the Cheyenne River Reservation, South Dakota;Chippewa Cree Indians of the Rocky Boy's Reservation, Montana;Crow Creek Sioux Tribe of the Crow Creek Reservation, South Dakota;Flandreau Santee Sioux Tribe of South Dakota;Fort Belknap Indian Community of the Fort Belknap Reservation of Montana;Lower Brule Sioux Tribe of the Lower Brule Reservation, South Dakota;Lower Sioux Indian Community in the State of Minnesota;Northern Cheyenne Tribe of the Northern Cheyenne Indian Reservation, Montana;Oglala Sioux Tribe of the Pine Ridge Reservation, South Dakota;Prairie Island Indian Community in the State of Minnesota;Red Lake Band of Chippewa Indians, Minnesota;Rosebud Sioux Tribe of the Rosebud Indian Reservation, South Dakota;Santee Sioux Nation, Nebraska;Shakopee Mdewakanton Sioux Community of Minnesota;Sisseton-Wahpeton Oyate of the Lake Traverse Reservation, South Dakota;Spirit Lake Tribe, North Dakota;Standing Rock Sioux Tribe of North & South Dakota;Three Affiliated Tribes of the Fort Berthold Reservation, North Dakota;Turtle Mountain Band of Chippewa Indians of North Dakota;Upper Sioux Community, Minnesota;White Earth Band of Minnesota Chippewa Tribe, Minnesota;Yankton Sioux Tribe of South Dakota",11,"Arapaho;Arikara;Chippewa (Red Lake and Pembina bands);Chippewa (Turtle Mountain band);Gros Ventre;Mandan;Northern Cheyenne;Sioux;Sioux (Wahpeton and Sisseton Bands);Sioux, Sisseton;Sioux, Standing Rock",16,581;712;702;516;621;497;632;713;599;699;538;529;620;654;614;445
5,Oklahoma State University,136020.5,29674.49,,524628.27,25,"Apache Tribe of Oklahoma;Arapaho Tribe of the Wind River Reservation, Wyoming;Cherokee Nation, Oklahoma;Cheyenne and Arapaho Tribes, Oklahoma;Chickasaw Nation, Oklahoma;Choctaw Nation of Oklahoma;Comanche Nation, Oklahoma;Eastern Band of Cherokee Indians of North Carolina;Fort Sill Apache Tribe of Oklahoma;Jena Band of Choctaw Indians, Louisiana;Jicarilla Apache Nation, New Mexico;Kiowa Indian Tribe of Oklahoma;Mescalero Apache Tribe of the Mescalero Reservation, New Mexico;Mississippi Band of Choctaw Indians, Mississippi;Muscogee (Creek) Nation, Oklahoma;Pawnee Nation of Oklahoma;Poarch Band of Creeks, Alabama;Quapaw Tribe of Indians, Oklahoma;Santee Sioux Nation, Nebraska;Seminole Nation of Oklahoma;Seminole Tribe of Florida;The Osage Nation, Oklahoma;United Keetoowah Band of Cherokee Indians in Oklahoma;White Mountain Apache Tribe of the Fort Apache Reservation, Arizona;Wichita and Affiliated Tribes (Wichita, Keechi, Waco & Tawakonie), Oklahoma",15,Apache (eastern bands);Arapaho;Cherokee;Cheyenne;Chickasaw;Choctaw;Comanche;Creek;Creek or Muscogee;Great and Little Osage;Kiowa;Pawnee;Quapaw;Seminole;Wichita,18,525;540a;489;688;591;368;698;485;404;123;97;94;492;486;367;478;511;510
6,South Dakota State University,137816.12,47407,,92358.68,20,"Arapaho Tribe of the Wind River Reservation, Wyoming;Assiniboine and Sioux Tribes of the Fort Peck Indian Reservation, Montana;Cheyenne River Sioux Tribe of the Cheyenne River Reservation, South Dakota;Crow Creek Sioux Tribe of the Crow Creek Reservation, South Dakota;Flandreau Santee Sioux Tribe of South Dakota;Ho-Chunk Nation of Wisconsin;Lower Brule Sioux Tribe of the Lower Brule Reservation, South Dakota;Lower Sioux Indian Community in the State of Minnesota;Northern Cheyenne Tribe of the Northern Cheyenne Indian Reservation, Montana;Oglala Sioux Tribe of the Pine Ridge Reservation, South Dakota;Prairie Island Indian Community in the State of Minnesota;Rosebud Sioux Tribe of the Rosebud Indian Reservation, South Dakota;Santee Sioux Nation, Nebraska;Shakopee Mdewakanton Sioux Community of Minnesota;Sisseton-Wahpeton Oyate of the Lake Traverse Reservation, South Dakota;Spirit Lake Tribe, North Dakota;Standing Rock Sioux Tribe of North & South Dakota;Upper Sioux Community, Minnesota;Winnebago Tribe of Nebraska;Yankton Sioux Tribe of South Dakota",8,"Arapaho;Northern Cheyenne;Santee Sioux;Sioux;Sioux (Wahpeton and Sisseton Bands);Sioux, Sisseton;Winnebago;Yankton Sioux",11,598;496;523;632;653;468;410;699;538;289;614
7,Texas A&M,2106057.14,2102628.34,,1026654.62,7,"Apache Tribe of Oklahoma;Comanche Nation, Oklahoma;Fort Sill Apache Tribe of Oklahoma;Jicarilla Apache Nation, New Mexico;Kiowa Indian Tribe of Oklahoma;Mescalero Apache Tribe of the Mescalero Reservation, New Mexico;White Mountain Apache Tribe of the Fort Apache Reservation, Arizona",3,Apache (eastern bands);Comanche;Kiowa,3,478;511;688
8,University of Arizona,705380.5,689586.52,,77245.9,4,"Navajo Nation, Arizona, New Mexico & Utah;San Carlos Apache Tribe of the San Carlos Reservation, Arizona;Tonto Apache Tribe of Arizona;White Mountain Apache Tribe of the Fort Apache Reservation, Arizona",10,Apache;Apache (western bands);Cocopa;Havasupai;Maricopa;Navaho;Papago;Pima;Walapai;Yuma,12,596;600;651;685;573;633;687;689;686;519;683;546
9,University of Idaho,239515.32,164960.71,,657338.57,8,"Coeur D'Alene Tribe, Idaho;Confederated Salish & Kootenai Tribes of the Flathead Reservation, Montana;Confederated Tribes of the Colville Reservation, Washington;Confederated Tribes of the Goshute Reservation;Nez Perce Tribe of Idaho;Northwestern Band of Shoshoni Nation of Utah (Washakie);Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho;Te-Moak Tribe of Western Shoshone Indians of Nevada",11,Bannock;Coeur d'Alene;Coeur d'Alène;Flathead;Kootenay;Methow;Nez Percé;Okanagan;Shoshoni;Shoshoni (Western bands);Upper Pend d'Orelles,9,373;532;366;552;444;441;520;524;553
10,University of Minnesota,48091.95,25896.61,,241013.76,41,"Assiniboine and Sioux Tribes of the Fort Peck Indian Reservation, Montana;Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin;Bay Mills Indian Community, Michigan;Bois Forte Band (Nett Lake) of the Minnesota Chippewa Tribe, Minnesota;Cheyenne River Sioux Tribe of the Cheyenne River Reservation, South Dakota;Chippewa Cree Indians of the Rocky Boy's Reservation, Montana;Crow Creek Sioux Tribe of the Crow Creek Reservation, South Dakota;Flandreau Santee Sioux Tribe of South Dakota;Fond du Lac Band of the Minnesota Chippewa Tribe, Minnesota;Grand Portage Band of the Minnesota Chippewa Tribe, Minnesota;Grand Traverse Band of Ottawa and Chippewa Indians, Michigan;Ho-Chunk Nation of Wisconsin;Keweenaw Bay Indian Community, Michigan;Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin;Lac Vieux Desert Band of Lake Superior Chippewa Indians, Michigan;Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin;Leech Lake Band of the Minnesota Chippewa Tribe, Minnesota;Lower Brule Sioux Tribe of the Lower Brule Reservation, South Dakota;Lower Sioux Indian Community in the State of Minnesota;Menominee Indian Tribe of Wisconsin;Mille Lacs Band of the Minnesota Chippewa Tribe, Minnesota;Minnesota Chippewa Tribe, Minnesota;Oglala Sioux Tribe of the Pine Ridge Reservation, South Dakota;Prairie Island Indian Community in the State of Minnesota;Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin;Red Lake Band of Chippewa Indians, Minnesota;Rosebud Sioux Tribe of the Rosebud Indian Reservation, South Dakota;Saginaw Chippewa Indian Tribe of Michigan;Santee Sioux Nation, Nebraska;Sault Ste. Marie Tribe of Chippewa Indians of Michigan;Shakopee Mdewakanton Sioux Community of Minnesota;Sisseton-Wahpeton Oyate of the Lake Traverse Reservation, South Dakota;Sokaogon Chippewa Community, Wisconsin;Spirit Lake Tribe, North Dakota;St. Croix Chippewa Indians of Wisconsin;Standing Rock Sioux Tribe of North & South Dakota;Turtle Mountain Band of Chippewa Indians of North Dakota;Upper Sioux Community, Minnesota;White Earth Band of Minnesota Chippewa Tribe, Minnesota;Winnebago Tribe of Nebraska;Yankton Sioux Tribe of South Dakota",10,Chippewa;Chippewa (Bois Forte band);Chippewa (Pillager band);Chippewa (Red Lake and Pembina bands);Chippewa of the Mississippi;Chippewa of the Mississippi and Lake Superior;Menomini;Sioux;Sioux (Wahpeton and Sisseton Bands);Winnebago,12,269;243;482;242;332;268;289;357;261;361;445;321
